latitude,longitude,date_start,date_end,best_est
38.56,68.773889,06/01/1994 00:00:00,06/01/1994 00:00:00,1
38.56,68.773889,07/05/1995 00:00:00,07/05/1995 00:00:00,4
38,73,10/21/1993 00:00:00,10/21/1993 00:00:00,70
38.389166,69.322716,11/08/1993 00:00:00,11/08/1993 00:00:00,1
37.640988,69.593004,12/20/1993 00:00:00,12/20/1993 00:00:00,9
37.70004,72.16748,12/23/1993 00:00:00,12/23/1993 00:00:00,1
39.02871,70.37446,07/17/1995 00:00:00,07/18/1995 00:00:00,7
37.833994,68.781858,10/09/1992 00:00:00,10/11/1992 00:00:00,2
39.23491,70.35998,01/04/2011 00:00:00,01/04/2011 00:00:00,8
38.01318,69.8086,06/07/1992 00:00:00,06/09/1992 00:00:00,21
38.56,68.773889,08/24/1992 00:00:00,08/24/1992 00:00:00,2
38.598559,69.107454,12/18/1992 00:00:00,12/18/1992 00:00:00,20
37.833994,68.781858,09/16/1992 00:00:00,09/16/1992 00:00:00,2
39.2,70.8,01/25/2011 00:00:00,01/25/2011 00:00:00,1
39.23491,70.35998,04/14/2011 00:00:00,04/14/2011 00:00:00,17
39.23491,70.35998,05/14/2011 00:00:00,05/14/2011 00:00:00,0
37.52526,69.33277,07/25/2011 00:00:00,07/25/2011 00:00:00,2
39.21966,71.19155,10/02/1999 00:00:00,10/03/1999 00:00:00,2
39.2,70.8,10/02/1999 00:00:00,10/03/1999 00:00:00,1
40.12649,70.62526,08/03/2006 00:00:00,08/03/2006 00:00:00,0
36.521149,68.899849,08/14/2010 00:00:00,08/14/2010 00:00:00,3
40.26877,70.33057,01/14/2013 00:00:00,01/14/2013 00:00:00,2
39,71,01/15/2013 00:00:00,01/17/2013 00:00:00,1
33,65,01/01/1991 00:00:00,12/31/1991 00:00:00,22
33.973743,69.051591,07/30/2013 00:00:00,07/30/2013 00:00:00,1
34.9287,71.119,09/07/2013 00:00:00,09/07/2013 00:00:00,16
34.998476,71.081975,10/25/2013 00:00:00,10/25/2013 00:00:00,2
34.904,71.1839,11/01/2013 00:00:00,11/01/2013 00:00:00,1
31.072875,65.158015,02/17/2013 00:00:00,02/17/2013 00:00:00,1
35.233837,71.33074,02/18/2013 00:00:00,02/18/2013 00:00:00,2
33.305843,68.446963,02/18/2013 00:00:00,02/18/2013 00:00:00,1
